;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;16;27,3;30,8;23,2;0,6;2,2;58,842
Albania;8,1;22,7;32,5;34,6;0;2,1;1
Algeria;15;34,4;26,4;19,3;0;4,9;1,282
Argentina;8,9;14,9;29,6;46,1;0;0,5;1,28
Bangladesh;19,7;29,3;35,6;12,1;0;3,4;1,5
Bosnia Herzegovina;10,9;24,5;35,6;28,5;0;0,5;1,2
Canada;9;31,6;41,9;17,2;0;0,3;1,931
Chile;9,1;21;25,6;42;0;2,3;1,2
China;15,1;47,7;26,6;3,5;7;0,1;1
India;17,9;19,7;26,7;29;0;6,7;2,002
Indonesia;9,5;26,6;46,6;9,1;0;8,2;1
Iran;16,7;24,2;31;20,5;3;4,5;2,532
Iraq;25,4;27,4;24;19,2;1,1;2,9;2,325
Japan;20,3;42,4;25,1;4;0;8,3;1,362
Jordan;15,9;30,4;24,5;27,8;0,1;1,3;1,223
South Korea;15;36,3;38,8;9,8;0;0,1;1,2
Kyrgyzstan;15,2;31,5;38;14,8;0;0,5;1,043
Mexico;17,9;27,4;26,3;26,8;0;1,6;1,535
Moldova;8,1;27;43,7;18,5;0;2,7;1,008
Morocco;10,9;14,2;19,1;52,4;0;3,4;1,251
Nigeria;27,7;23,6;27,3;20,4;0;0,9;2,022
Pakistan;5,2;8,4;39,6;43,3;0;3,4;2
Peru;20,6;23,1;36,6;19;0;0,7;1,501
Philippines;21,9;33,1;30;14,9;0;0,2;1,2
Puerto Rico;15,1;24,3;37,6;21,9;0,4;0,6;720
Saudi Arabia;25,6;28,4;24,8;17,1;0;4,2;1,502
Singapore;10;36,5;40,6;12,3;0;0,6;1,512
Vietnam;37,5;38;20,2;1,3;0;3;1
South Africa;20,4;29,1;27,8;21,3;0;1,5;3
Zimbabwe;14,1;26,1;28;28,2;0;3,6;1,002
Spain;7,3;16,7;39,6;35,3;0;1;1,209
Sweden;11,4;43,4;37,1;7,8;0;0,2;1,014
Turkey;16,3;22,5;25,2;35,1;0,9;0;3,401
Uganda;23,2;31,8;27,6;16,7;0;0,7;1,002
Macedonia;13,9;22;35,6;27,3;0;1,3;1,055
Egypt;12,6;36,1;22,5;26,2;0;2,6;3
Tanzania;32,9;28,2;16,1;8,9;11,4;2,6;1,171
United States;15,7;41;35,1;7,9;0;0,3;1,2
Venezuela;15,6;18,8;25,7;39,7;0;0,3;1,2
Serbia;4,6;19,8;44,9;29,2;0;1,6;1,2
Montenegro;5,9;21,8;48,1;23;0;1,1;1,056
