;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;14,2;29,2;33,4;20,8;0,9;1,5;80,95
Andorra;6,3;25,6;42,6;25;0,2;0,3;1,003
Argentina;8,4;21,8;32,7;36,1;0,3;0,7;1,002
Australia;9,6;38,1;40,6;9,6;2,2;0;1,421
Brazil;14,6;40;26,1;18,5;0,7;0,2;1,5
Bulgaria;6,9;15,3;39,8;36,1;0;1,9;1,001
Canada;11,7;37,3;36,5;14,2;0,1;0,3;2,164
Chile;5,6;14,5;32,3;45,8;1,5;0,3;1
China;13,3;34,9;28;5,6;0,4;17,8;1,991
Taiwan;6,7;22,2;45;26;0;0;1,227
Cyprus;13,3;20;33,8;31,2;1,6;0;1,05
Ethiopia;36,9;36,8;18;7,7;0,5;0;1,5
Finland;2,6;25,7;49;22,6;0;0,1;1,014
France;11,9;35,5;29,5;23;0;0;1,001
Georgia;19;43,9;24,9;11,7;0,2;0,3;1,5
Germany;9,4;32,7;40,1;17,2;0,2;0,2;2,064
Ghana;24,9;23,3;32,5;18,4;0,5;0,3;1,534
Guatemala;19;20,8;29,1;30;0;1,2;1
Hong Kong;3,7;23,6;62,9;8;0;1,8;1,252
Hungary;8,7;16,3;36,7;38,3;0;0,1;1,007
India;14,4;22,8;31,2;25,2;0;6,3;2,001
Indonesia;10,7;28,7;41,1;16,9;1;1,5;2,015
Iran;20;29,5;29,2;20,6;0,4;0,2;2,667
Iraq;35,5;27,7;17,9;14,8;0,5;3,6;2,701
Italy;9,3;27,7;36,4;25;1,3;0,4;1,012
Japan;19,7;41,7;27,6;3,6;7,4;0;1,096
Jordan;20,6;29,1;26,4;23,3;0,6;0;1,2
South Korea;17,7;36,5;34,3;11,4;0,1;0;1,2
Malaysia;13,4;32,6;36,8;17,1;0,1;0;1,201
Mali;21,5;26,9;24;19,2;5;1,6;1,534
Mexico;19,7;26,8;27,3;24,1;0,6;1,4;1,56
Moldova;4,6;21;46,4;27,7;0;0,3;1,046
Morocco;10,3;23;28,8;31,4;6,4;0;1,2
Netherlands;7;38,4;36,4;16,7;0,7;0,7;1,05
New Zealand;6;33,3;44,8;11,4;3,5;1;954
Norway;9,9;48,4;35,5;6,2;0;0;1,025
Peru;11;17;39,8;30,3;1,9;0;1,5
Poland;5,2;23,5;42,4;27,4;0;1,5;1
Romania;4,1;17,3;39,6;36,3;1,7;1;1,776
Russia;7,9;26,5;39,8;22,7;0,6;2,4;2,033
Rwanda;16,3;37,8;26,3;5,2;1,3;12,3;1,507
Serbia;4,7;17,1;44,2;32,7;0,1;1,2;1,22
Vietnam;23,1;45,4;25,6;3,4;0,3;1,9;1,495
Slovenia;3,9;11,9;45,3;38,3;0,2;0,5;1,037
South Africa;21,7;25,6;28,6;22,7;0;1,4;2,988
Spain;7,6;21,3;43,1;27,6;0,1;0,2;1,2
Sweden;15,5;47,1;29,3;8,1;0;0;1,003
Switzerland;12,4;44;34,1;8,9;0,2;0,4;1,241
Thailand;31;42,3;21,8;4,4;0,6;0;1,534
Trinidad and Tobago;11;16,4;42,2;29,1;1,2;0,2;1,002
Turkey;12,7;24,5;30,4;32;0;0,3;1,346
Ukraine;8,9;29,5;35,2;24;0,3;2,1;1
Egypt;9,1;28,2;27,3;35,2;0;0,1;3,051
United Kingdom;9,2;31;39,2;20,3;0,2;0,1;1,041
United States;10,8;39,9;39,7;8,5;1;0;1,249
Burkina Faso;17,3;28;28,4;19,7;2,3;2,9;1,534
Uruguay;12,2;21,3;29;36,5;1;0;1
Zambia;21,1;31,9;24,8;18,5;2,7;0,7;1,5
