;Dissatisfied;2;3;4;5;6;7;8;9;Satisfied;No answer;(N);DK;Mean;Standard Deviation;Base mean
Switzerland;0,5;0,5;0,9;1,2;4,5;5,5;13;36,3;19,9;17,1;0,4;1,241;0;8,01;1,58;1,236
Thailand;0,8;0,7;2,3;3,5;8,9;14,1;20;28;11,2;10,3;0,1;1,534;0;7,21;1,81;1,532
Trinidad and Tobago;3,1;0,7;1;2,7;11,4;12,4;18;20,7;8,1;21,6;0,2;1,002;0,1;7,33;2,16;999
Turkey;2,9;1,3;3,6;2,8;5,4;9,9;17,3;21,2;15,1;20,6;0;1,346;0;7,46;2,23;1,346
Ukraine;5,1;5,6;11,5;7,9;14,6;14,6;15,4;14;6,5;4,2;0,2;1;0,3;5,67;2,36;995
Egypt;10,3;4,1;7,7;8,4;16,6;10,3;14;12,2;5,4;11;0;3,051;0;5,74;2,69;3,05
United Kingdom;0,8;0,2;1;1,6;6,6;9,4;20,5;33,3;15,4;10,9;0,1;1,041;0,2;7,6;1,61;1,038
United States;0,5;0,9;2;3,9;7,3;9,6;22,9;28,1;17,5;6,7;0,4;1,249;0;7,32;1,72;1,24
Burkina Faso;3,6;4,6;6,7;12,1;26;15,2;11,1;8,2;3,1;7;1;1,534;1,2;5,57;2,18;1,499
Uruguay;1,9;0,2;1,2;1,9;7,6;12,5;21,8;24,5;11,5;16,2;0,7;1;0;7,46;1,87;993
Zambia;7,1;3,5;5,9;7,6;13,6;12,6;16,6;15,3;6,6;8,7;0,5;1,5;2;6,06;2,5;1,463
