;Agree;Neither;Disagree;No answer;DK;(N)
TOTAL;35,2;15,5;47,5;0,6;1,2;80,95
Andorra;4,4;5,7;89,7;0,1;0,1;1,003
Argentina;27;12;58,5;0,7;1,8;1,002
Australia;13,7;21,2;64,1;0,9;0;1,421
Brazil;22,2;13,6;63,9;0,2;0,1;1,5
Bulgaria;23,2;22,2;50,4;0,1;4,2;1,001
Canada;14,1;7,8;77,2;0,1;0,8;2,164
Chile;30;23,4;46,1;0;0,4;1
China;37;22,5;30,4;0,2;9,9;1,991
Taiwan;43,5;20,4;36;0;0,1;1,227
Cyprus;36,5;17;46,4;0,1;0;1,05
Ethiopia;5,9;8,3;83,9;1,6;0,1;1,5
Finland;9,6;8,8;81;0,1;0,5;1,014
France;18,1;8,1;73,6;0,1;0,1;1,001
Georgia;51,5;21;25,6;0,1;1,8;1,5
Germany;17,4;15;65,1;0,3;2,1;2,064
Ghana;53,3;8,9;37,2;0,3;0,3;1,534
Guatemala;19,8;7,6;71,9;0;0,6;1
Hong Kong;21,1;33,5;43,2;2,2;0;1,252
Hungary;12,6;23,1;62,8;0,2;1,3;1,007
India;50,5;27,6;20,1;0;1,6;2,001
Indonesia;54,2;8,2;35,4;0,6;1,3;2,015
Iran;69;14;16,4;0,5;0;2,667
Iraq;81,7;0;15,7;0,6;2;2,701
Italy;21,4;18,4;57,7;1,3;1,2;1,012
Japan;25,7;52,3;17,1;4,9;0;1,096
Jordan;87,9;3,9;7,8;0;0,3;1,2
South Korea;36,4;37;26,4;0,3;0;1,2
Malaysia;49;35,7;15,2;0;0;1,201
Mali;61,1;14,5;22,3;1,4;0,7;1,534
Mexico;25,1;7;67,1;0;0,8;1,56
Moldova;37,8;22,8;38,7;0;0,8;1,046
Morocco;50;15,8;32,7;1,6;0;1,2
Netherlands;12,2;6;79,8;0,4;1;1,05
New Zealand;7,8;18,8;70,1;2,3;1;954
Norway;6,4;5;88,3;0,1;0,2;1,025
Peru;17,3;9,3;71,2;2,1;0;1,5
Poland;29,5;17,4;48,8;0;4,3;1
Romania;33,6;22,8;39,1;0,8;3,7;1,776
Russia;35,4;19,1;42,3;0,2;3;2,033
Rwanda;24,7;10,3;62,6;0,4;1,9;1,507
Serbia;12,4;24;62,3;0,6;0,7;1,22
Vietnam;40,3;21,2;37,2;0,2;0,9;1,495
Slovenia;13,3;12,7;72,1;0,4;1,4;1,037
South Africa;36,8;13,3;49;0;0,8;2,988
Spain;17,1;6,4;74,6;0,1;1,6;1,2
Sweden;2,1;3,8;93,4;0,8;0;1,003
Switzerland;21,9;14,9;62,2;0,3;0,7;1,241
Thailand;32,1;27,1;40,4;0,4;0;1,534
Trinidad and Tobago;25,3;8,9;65,5;0;0,3;1,002
Turkey;52,1;16,5;29,2;0,9;1,3;1,346
Ukraine;31,2;21,8;42,8;0,3;3,9;1
Egypt;89;6,6;4,3;0;0,1;3,051
United Kingdom;15,8;7,5;74,1;0,6;1,7;1,041
United States;6,7;26,5;65,9;0,2;0;1,249
Burkina Faso;50,5;12,5;33,6;1,1;2,3;1,534
Uruguay;21,2;8,6;67,2;3;0;1
Zambia;32,6;14,5;50;0,5;2,3;1,5
