;Dissatisfied;2;3;4;5;6;7;8;9;Satisfied;No answer;(N);DK;Mean;Standard Deviation;Base mean
TOTAL;6;5,1;6,2;6,2;16,9;10,6;12,5;13,5;9,5;12,3;0,1;60,041;1,1;6,19;2,61;59,329
Albania;4,6;6;15,4;15,9;16,7;11,7;11,3;10,2;5,3;2,7;0;1;0,2;5,17;2,25;998
Algeria;12,6;5,6;8,4;5,9;12,9;10,5;13,6;11,5;6,3;11,9;0;1,282;1;5,67;2,86;1,269
Argentina;3,1;1;2,1;3,7;10,9;9,9;14,9;21,3;10,6;21,6;0;1,28;0,9;7,33;2,26;1,269
Bangladesh;3,3;1,1;7,5;10,5;34,9;9,3;8,9;10,6;2,9;9,6;0;1,5;1,4;5,78;2,18;1,479
Bosnia Herzegovina;7,3;3,3;5,1;8,6;24,3;13,2;13,2;11,6;5,3;7,8;0;1,2;0,2;5,77;2,39;1,198
Canada;0,8;1,2;1,4;2,6;6;7,3;14,1;28,6;19,4;18,6;0,1;1,931;0;7,8;1,85;1,929
Chile;1,2;0,8;4;5,3;12,5;13;16,4;18,5;8,5;19,2;0;1,2;0,6;7,12;2,16;1,192
China;3,4;4,9;5,9;4,5;13,4;14,1;13,1;17,4;8,3;14,1;0,9;1;0;6,53;2,47;991
India;6;0;22,7;0;42,7;0;18,1;0;0;9,4;0;2,002;1,1;5,14;2,23;1,98
Indonesia;2,9;0,8;2;2,9;12,2;17;20,8;19,2;7,5;13,7;0;1;1;6,96;2,06;990
Iran;3,9;3,2;6,2;8,3;14,5;11,5;15,2;15,8;9,6;10,9;0,6;2,532;0,5;6,38;2,41;2,504
Iraq;9,1;5,4;11;9,6;21,5;12,6;11,9;10,4;3,7;4,9;0;2,325;0;5,23;2,41;2,325
Israel;2,3;1,8;3,4;4,3;12,5;10,1;17,3;22,4;11,8;13,5;0,2;1,199;0,6;7,03;2,17;1,19
Japan;1,6;2,1;4,8;6;12,9;17,9;16,1;24;6,7;4,6;0;1,362;3,4;6,48;1,97;1,316
Jordan;8,6;4,7;6,2;7,6;24,7;10,5;13,5;9;4,4;10,1;0,1;1,223;0,6;5,64;2,54;1,215
South Korea;4,5;2,1;6,1;7,8;16,8;14,2;15,8;13,5;8,3;8,7;0;1,2;2,2;6,21;2,32;1,173
Kyrgyzstan;6,3;2,1;6,1;6,5;12,8;13,6;12;15,1;11,4;14;0;1,043;0;6,48;2,57;1,043
Mexico;3,9;0,8;1,6;1,5;7,8;4,5;7,7;14,9;11,5;43,6;0;1,535;2,3;8,13;2,4;1,5
Moldova;13,1;7;10,6;15,6;20,6;11,8;7,1;6;2,3;3,1;0;1,008;2,9;4,57;2,32;978
Morocco;5,4;3,4;6,9;7,5;32,1;10,5;8,8;6,7;4,3;14,3;0;1,251;0;5,83;2,48;1,251
Nigeria;2,7;3,4;4,9;5,3;8,6;11,3;17,4;20,3;13,8;12,2;0;2,022;0;6,87;2,32;2,022
Pakistan;0,9;4,8;11,6;7,8;35,9;15,5;4,2;3,6;0,4;0;0;2;15,4;4,85;1,46;1,693
Peru;4,1;2,2;4,7;7,2;18,7;12,7;14,5;14,7;5,9;14,7;0;1,501;0,7;6,44;2,4;1,49
Philippines;5,2;2,9;3,2;5,5;16,3;13,6;11,4;14,3;9,6;18,2;0;1,2;0;6,67;2,54;1,2
Puerto Rico;1,5;0,7;0,6;1,1;5,7;4,9;7,8;17,9;13,1;46,4;0,3;720;0,1;8,49;1,97;717
Saudi Arabia;2,2;1,4;2,7;4,5;11,8;12,3;13,7;14,6;15,2;21;0;1,502;0,5;7,28;2,27;1,494
Singapore;0,6;0,6;2,5;3,7;9,7;12,3;22,7;30,7;9,8;7,4;0;1,512;0;7,13;1,72;1,512
Vietnam;1,5;1;2,6;5,5;25,3;19,5;12,8;11,7;6,5;12,8;0;1;0,8;6,52;2,06;992
South Africa;7,9;5,9;8,3;8,5;18,7;8,7;12,5;10,2;5,2;14,1;0;3;0,1;5,81;2,72;2,997
Zimbabwe;29,5;11;8,4;7,8;17,9;7,3;5,3;4,9;2,1;5,7;0;1,002;0,3;3,94;2,74;999
Spain;0,8;0,7;2,3;2,8;13,9;15,7;23,9;20,5;8,9;10,2;0;1,209;0,3;6,99;1,82;1,205
Sweden;0,5;0,8;2,2;3,9;6,2;6,8;16,5;30;16,6;16,3;0;1,014;0,3;7,65;1,85;1,011
Turkey;10,3;3,2;6;8,6;20,7;10,9;10,5;11,1;5,6;13;0;3,401;0;5,81;2,7;3,401
Uganda;8,4;4,9;5,5;8,3;24,8;12,2;10,9;11,8;6;7,2;0;1,002;0;5,62;2,47;1,002
Macedonia;14,4;5,2;9,1;10,1;21;9,1;10,2;6,8;4,8;8,9;0;1,055;0,3;5,12;2,71;1,052
Egypt;2,3;42,8;2,4;2,2;0;6,7;0;0;43,3;0,1;0;3;0,1;5,36;3,35;2,998
Tanzania;39,7;7,4;7,6;5;14,8;2,6;2,7;2,7;1,9;13,3;1,1;1,171;1,1;3,87;3,22;1,145
United States;0,9;0,5;1,9;2,6;7,1;8,3;18,3;25,2;19,3;15,9;0;1,2;0;7,65;1,84;1,2
Venezuela;3,8;2,1;2,2;4,1;9,3;8,4;10,5;16,1;13;30,3;0;1,2;0,2;7,52;2,5;1,198
Serbia;7,2;5,2;8,9;7,9;21,6;9;13,4;13,4;7;5,6;0;1,2;0,8;5,62;2,47;1,191
Montenegro;6,3;4,2;10,8;7,9;14,2;13,3;18,1;11,7;4,8;5,1;0;1,056;3,5;5,64;2,38;1,019
